ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
3;Macho;21;249.0;1.3;8.5;5.5;8.0;3.0;22.0;20.8;14.5;5.0;5.4;3.5;4.0
4;Macho;21;336.0;1.4;8.5;8.2;9.8;4.7;22.3;24.0;16.5;4.7;7.0;4.4;4.2
4;Femea;21;219.0;1.5;8.5;8.0;9.0;4.6;22.0;18.5;17.5;5.4;7.0;4.0;3.9
5;Femea;21;242.0;1.4;7.7;6.5;8.0;3.5;23.0;20.5;14.0;5.0;5.5;3.5;4.4
7;Macho;21;262.0;1.3;8.0;5.1;8.1;3.1;22.3;13.5;14.0;5.5;4.0;3.5;3.5
18;Macho;21;228.0;1.5;8.0;6.0;9.5;5.0;24.0;22.0;10.5;5.0;4.5;3.5;4.5
23;Macho;21;198.0;1.2;8.4;8.0;8.9;5.6;26.9;23.4;15.5;7.2;6.5;4.0;4.6
25;Femea;21;160.0;1.3;8.3;6.2;7.8;1.9;19.8;13.0;14.3;4.0;4.1;4.0;3.6
29;Femea;21;208.0;1.3;8.0;8.7;7.2;3.4;19.2;21.1;13.0;4.2;5.3;3.8;4.6
52;Femea;21;302.0;1.8;8.8;5.9;11.4;5.7;23.1;22.5;15.9;4.8;6.0;4.0;4.1
60;Macho;21;382.0;1.6;8.0;6.0;8.0;3.6;21.0;21.3;15.0;5.0;5.7;3.0;4.3
70;Macho;21;233.0;1.3;8.2;5.5;7.5;2.0;22.2;13.8;15.9;4.1;4.3;4.2;4.2
89;Macho;21;299.0;1.7;7.9;7.5;8.0;4.5;23.0;21.0;16.0;5.5;6.0;4.3;4.7
97;Femea;21;232.0;1.3;8.4;8.2;9.2;3.5;23.1;22.0;15.0;5.3;5.0;3.3;3.4
103;Macho;21;151.0;1.1;8.5;6.0;8.2;4.5;29.1;24.0;16.1;5.4;5.2;3.8;3.3
108;Macho;21;309.0;1.5;8.1;5.8;8.5;2.2;21.0;13.5;14.6;4.7;4.6;4.2;3.5
110;Femea;21;124.0;1.3;8.0;6.0;8.0;4.0;23.5;21.0;17.0;4.5;5.5;3.5;3.6
129;Femea;21;214.0;1.1;8.6;8.0;8.5;3.5;23.3;13.2;15.5;4.0;6.5;4.4;3.7
136;Femea;21;318.0;1.6;8.9;7.5;9.5;6.1;24.0;25.7;15.5;7.0;7.5;4.5;5.0
138;Macho;21;305.0;1.3;8.9;8.0;8.9;6.0;29.5;27.0;15.8;6.6;7.5;4.6;5.2
140;Macho;21;141.0;2.0;8.1;6.3;12.0;6.4;22.5;22.1;15.0;5.7;6.5;4.3;3.8
144;Femea;21;363.0;1.5;8.3;8.5;8.7;4.5;21.0;22.5;16.5;5.0;6.5;5.0;4.2
146;Femea;21;295.0;1.1;8.5;8.0;9.8;6.1;25.0;26.5;17.0;7.1;7.9;4.9;4.7
177;Macho;21;195.0;1.4;8.2;7.3;9.5;5.1;22.5;23.5;15.5;6.5;7.5;4.1;4.5
179;Macho;21;264.0;11.4;8.3;9.4;9.3;4.5;21.7;23.6;15.4;5.3;6.5;4.5;4.0
182;Macho;21;294.0;2.2;8.1;6.0;8.7;4.5;23.0;21.0;15.0;5.0;5.0;3.2;3.7
184;Femea;21;77.0;1.6;8.4;6.4;10.6;3.7;21.7;21.5;17.8;6.8;6.1;4.4;3.9
