ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
202;Macho;0;34;0.8;3.4;4.0;3.2;3.2;13.1;13.4;9.1;3.4;3.2;2.3;2.7
203;Femea;0;32;1.0;6.7;5.5;4.5;2.2;14.5;14.2;7.2;2.6;3.3;2.4;2.9
205;Macho;0;36;1.2;6.7;6.8;4.5;1.7;13.7;13.6;7.0;3.1;3.3;2.5;2.4
206;Femea;0;29;0.6;6.6;3.1;4.2;1.0;12.5;11.3;8.3;2.9;3.0;2.5;2.2
207;Femea;0;35;1.2;7;4.1;3.0;2.2;12.1;12.3;9.3;3.5;3.0;2.9;2.2
208;Macho;0;33;1.0;6.7;4.0;4.6;1.0;12.0;10.8;6.6;2.6;3.3;2.4;1.9
211;Macho;0;34;0.7;6.5;5.0;2.3;1.9;13.0;11.4;8.8;3.2;3.1;1.6;2.2
213;Femea;0;36;0.9;6.5;5.3;4.8;1.5;14.2;14.0;8.5;2.9;2.6;2.1;2.5
214;Femea;0;31;1.1;6.6;6.1;3.7;1.6;10.8;10.7;8.9;2.8;4.0;2.1;2.2
215;Femea;0;32;1.0;6.2;5.8;2.6;2.1;10.3;11.3;7.2;2.4;2.9;2.6;2.5
216;Macho;0;36;0.9;6.9;4.1;4.4;2.3;12.6;12.3;8.1;2.9;3.4;2.9;2.9
218;Macho;0;37;1.0;7.2;4.2;4.3;2.5;13.3;13.0;8.0;2.5;3.2;1.8;1.7
219;Femea;0;32;1.0;7;3.9;3.6;1.0;14.0;12.7;7.2;3.4;3.7;2.6;1.9
220;Femea;0;25;1.0;6.7;6.2;3.0;2.5;12.7;13.2;9.0;2.6;3.3;3.1;2.4
221;Femea;0;28;0.7;6.9;4.1;3.1;1.7;13.6;11.4;7.7;2.7;3.6;2.2;2.2
222;Macho;0;30;0.8;6.1;4.7;2.8;2.0;12.3;12.8;7.2;2.6;3.4;2.3;2.6
223;Femea;0;33;1.4;5.9;4.6;3.3;1.9;11.1;11.4;9.4;2.1;2.5;2.0;1.2
225;Macho;0;33;1.0;7;3.9;3.3;1.3;13.6;13.3;9.0;3.8;3.7;2.7;2.3
228;Femea;0;38;1.2;7.1;2.7;2.6;1.4;12.7;11.5;9.0;2.4;2.9;1.7;1.7
229;Macho;0;29;1.6;7.4;5.3;4.4;2.9;14.8;12.9;7.9;3.4;0.1;1.7;2.5
230;Macho;0;31;1.3;6.4;5.2;4.5;1.9;13.2;15.0;7.0;3.2;2.9;2.2;2.7
231;Femea;0;33;1.1;7.3;3.4;3.2;1.7;13.8;12.9;10.1;3.3;3.2;2.5;1.4
232;Femea;0;32;1.0;6.4;3.0;3.4;1.9;11.3;10.2;9.4;2.6;3.0;2.0;1.9
233;Macho;0;30;1.5;5.2;6.5;3.0;1.4;12.1;12.7;7.3;2.7;2.9;2.7;2.0
234;Macho;0;29;1.1;7.2;4.5;3.3;2.0;10.4;11.5;8.4;2.4;2.5;1.6;1.8
235;Macho;0;29;0.7;6;4.9;3.1;1.6;12.7;12.7;8.7;2.1;3.3;2.2;2.4
1;Macho;7;89;1.1;7.7;8.3;5.3;2.0;13.9;13.9;10.5;3.5;3.8;2.8;1.2
2;Femea;7;86;0.9;7.6;6.3;5.0;3.5;15.2;15.3;9.7;4.3;3.9;2.6;2.7
3;Macho;7;71;1.7;7.5;5.4;4.5;2.9;13.2;13.2;9.1;4.5;3.9;3.1;2.5
4;Macho;7;92;1.1;7;5.2;5.4;2.4;16.1;14.6;10.6;3.6;4.4;2.5;2.7
5;Femea;7;78;1.5;7.1;6.3;5.3;2.3;15.3;15.3;9.6;3.0;3.2;2.6;2.4
6;Femea;7;98;1.3;8.5;5.9;4.2;2.0;17.2;17.4;12.9;5.2;4.5;3.3;2.8
8;Macho;7;87;1.3;7.6;6.8;7.1;2.6;14.9;14.7;11.7;4.2;4.6;3.5;3.0
9;Macho;7;77;1.4;7.9;3.9;5.2;1.9;15.1;13.8;13.7;5.0;3.4;2.9;2.7
12;Macho;7;73;0.9;7.5;4.6;3.7;2.1;14.1;15.2;11.8;3.7;4.5;2.8;2.6
13;Macho;7;100;1.3;7.6;8.1;5.5;2.3;14.5;13.5;10.7;4.0;4.6;2.7;2.5
14;Macho;7;73;1.2;7.4;7.1;5.8;2.7;14.2;13.8;9.8;3.5;4.0;3.5;2.8
15;Macho;7;95;1.2;6.5;6.5;5.5;2.0;12.5;13.1;10.7;5.1;3.7;3.2;1.6
18;Femea;7;96;1.4;7;4.3;5.0;2.7;15.3;14.7;10.2;3.8;3.6;2.8;2.8
21;Femea;7;73;1.6;8;4.2;5.5;3.0;14.7;14.3;10.4;4.1;4.9;3.0;2.7
