ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
70;Macho;14;158;1.2;7.6;5.0;8.6;3.5;17.6;17.4;11.4;46.0;4.5;3.9;2.7
75;Femea;14;162;1.0;8.0;7.5;10.4;3.1;19.9;20.3;12.9;6.1;6.5;4.0;4.1
77;Macho;14;180;1.3;7.8;6.5;8.0;4.0;22.0;18.5;14.0;4.5;5.5;3.5;3.3
84;Macho;14;212;1.5;7.7;5.0;8.7;4.1;20.4;18.4;12.5;5.2;5.8;3.7;3.0
88;Femea;14;145;1.5;7.8;5.4;8.7;3.8;17.9;17.7;11.5;4.5;4.8;3.0;2.8
95;Femea;14;134;1.3;6.7;4.7;6.6;2.7;17.9;14.8;10.6;4.4;5.3;3.4;3.5
111;Macho;14;186;1.6;7.4;5.2;8.7;3.8;18.6;19.1;13.0;4.7;5.5;3.4;3.1
114;Macho;14;206;1.5;8.8;6.5;6.0;3.2;20.0;15.6;12.6;5.0;5.1;4.3;4.0
115;Femea;14;138;1.6;7.7;6.6;7.8;3.8;18.8;17.7;12.5;4.7;4.5;3.0;3.6
117;Macho;14;216;1.3;8.1;7.5;7.7;5.0;21.3;20.5;14.2;4.6;5.4;3.7;4.2
127;Femea;14;110;1.3;7.8;4.4;5.4;3.0;18.6;13.4;13.0;4.1;4.1;3.7;3.1
129;Macho;14;170;1.5;7.6;5.0;9.2;3.6;21.0;17.0;12.3;5.7;5.6;3.8;2.7
130;Femea;14;159;1.5;7.2;4.5;9.3;4.4;19.1;19.7;12.8;4.7;5.5;3.6;2.8
140;Femea;14;205;1.5;8.0;6.5;7.0;2.5;20.5;19.5;15.5;4.5;4.5;4.0;4.0
144;Macho;14;184;1.5;8.0;5.9;6.6;3.0;21.0;16.0;13.5;4.3;5.8;4.0;3.4
151;Macho;14;181;2.2;8.5;7.7;8.6;4.8;19.0;19.5;13.9;5.7;5.9;3.7;3.9
170;Macho;14;197;2.2;7.9;4.8;9.7;5.2;20.2;18.7;13.5;4.9;5.7;3.8;3.0
174;Macho;14;186;1.0;6.8;5.9;6.8;2.4;20.0;18.0;13.2;4.0;4.8;3.6;3.8
177;Macho;14;159;1.2;7.7;4.6;8.4;4.4;19.0;19.6;11.3;3.7;4.8;3.1;2.9
*181;Macho;14;179;1.5;7.5;5.5;7.0;4.0;20.0;18.5;13.0;4.5;4.0;3.5;4.0
*181;Macho;14;159;1.8;7.6;5.3;9.4;4.2;20.1;19.0;12.4;4.9;5.2;3.3;2.9
184;Macho;14;175;1.6;7.5;7.0;7.2;3.0;19.0;17.4;17.0;5.0;4.2;3.7;3.0
187;Femea;14;158;1.0;6.9;3.8;4.6;2.4;13.2;13.5;8.0;3.0;3.6;1.4;1.6
190;Macho;14;178;1.4;7.6;6.8;7.3;3.9;19.2;20.1;12.8;4.2;3.7;3.0;3.4
194;Macho;14;195;2.6;8.2;7.2;6.8;5.5;15.8;14.7;14.2;4.5;6.1;4.7;4.0
204;Femea;14;195;1.2;7.7;5.1;9.8;5.9;20.2;19.2;12.5;5.8;5.7;3.6;3.4
209;Macho;14;187;1.8;7.9;4.3;7.7;5.0;19.4;17.6;12.0;4.3;5.1;3.2;3.0
210;Macho;14;132;1.6;8.1;7.0;7.4;4.0;20.5;20.4;13.8;4.6;4.4;3.5;3.8
212;Macho;14;188;2.0;7.7;4.7;11.0;4.6;22.4;19.9;13.0;5.0;5.7;4.0;3.5
217;Macho;14;148;1.4;7.2;4.8;8.2;3.8;17.1;18.3;10.5;4.4;4.3;3.1;2.9
224;Femea;14;177;1.5;8.0;7.0;8.0;4.0;18.7;17.0;13.0;5.2;5.0;3.1;3.2
226;Macho;14;162;1.3;7.5;6.0;8.0;4.0;18.0;17.5;12.5;4.5;4.0;3.0;3.5
227;Macho;14;190;1.7;8.0;8.0;5.9;3.0;22.0;13.0;13.8;4.5;6.0;4.0;4.9
7;Macho;21;262;1.3;8;5.1;8.1;3.1;22.3;13.5;14.0;5.5;4.0;3.5;3.5
10;Macho;21;252;1.2;9;7.6;9.5;5.5;23.9;25.0;15.0;6.5;6.9;4.0;4.5
11;Macho;21;370;2.0;8.1;5.8;10.7;6.0;22.6;20.2;15.7;5.8;6.0;4.0;3.9
16;Femea;21;358;1.5;8.9;7.5;10.0;5.5;24.0;24.4;15.2;6.5;8.0;4.5;5.1
17;Macho;21;174;1.3;8;5.0;7.8;3.0;20.5;18.5;12.5;4.5;4.5;3.0;3.5
19;Femea;21;290;1.4;8;7.5;7.0;3.3;19.1;17.5;12.3;4.0;4.3;3.3;3.5
20;Femea;21;298;1.6;7.6;5.5;9.2;3.0;21.2;15.4;14.6;4.0;4.4;3.8;3.5
25;Femea;21;160;1.3;8.3;6.2;7.8;1.9;19.8;13.0;14.3;4.0;4.1;4.0;3.6
26;Femea;21;231;1.2;8.4;6.1;6.2;2.9;22.1;15.2;15.1;4.8;3.8;4.0;4.3
31;Femea;21;285;1.3;8;5.2;7.0;2.5;22.5;13.2;13.3;5.6;4.7;4.0;3.9
39;Macho;21;273;1.5;8.1;5.2;8.5;2.9;22.5;14.5;15.3;5.0;4.1;3.8;4.0
47;Femea;21;290;1.8;8.3;52.0;10.8;5.7;23.2;22.8;15.1;5.4;6.3;4.1;3.8
57;Femea;21;263;1.7;8;5.4;10.3;5.3;23.6;22.5;15.7;5.3;6.3;4.1;3.6
62;Macho;21;259;1.8;8.3;5.8;20.3;6.5;25.9;24.7;16.5;5.6;6.3;4.0;3.5
70;Macho;21;233;1.3;8.2;5.5;7.5;2.0;22.2;13.8;15.9;4.1;4.3;4.2;4.2
75;Femea;21;328;1.2;8;5.6;7.6;8.0;18.7;18.6;14.5;4.1;5.3;3.5;3.8
77;Macho;21;237;1.5;8.2;7.0;8.2;4.0;24.0;24.0;16.0;4.5;5.2;3.2;3.5
88;Femea;21;99;1.2;7.5;6.2;7.3;2.5;19.7;14.3;13.0;4.3;4.7;3.9;3.1
95;Macho;21;174;1.3;7.9;6.5;7.5;3.5;21.5;20.5;15.3;5.6;4.4;3.4;3.4
111;Macho;21;352;1.6;8.5;7.6;9.4;3.7;24.5;22.5;16.8;5.5;6.0;4.0;4.4
114;Macho;21;377;1.3;8.5;6.7;9.5;2.2;23.7;15.1;16.6;5.8;4.6;5.0;5.0
115;Femea;21;302;1.3;8;8.1;7.2;4.3;22.4;21.0;13.3;5.5;5.6;13.7;13.7
117;Macho;21;186;2.0;8.6;4.2;9.0;4.0;24.0;17.5;25.0;6.0;7.0;5.0;3.3
118;Femea;21;246;1.8;8.4;5.7;11.6;6.0;23.1;21.6;15.8;5.9;6.4;4.3;4.2
127;Femea;21;235;1.6;7.5;4.6;9.3;5.4;21.0;17.8;13.0;4.7;5.0;3.3;3.1
129;Femea;21;214;1.1;8.6;8.0;8.5;3.5;23.3;13.2;15.5;4.0;6.5;4.4;3.7
130;Macho;21;281;1.2;8;7.5;9.0;4.4;21.6;21.0;15.0;5.0;6.0;3.6;3.5
140;Macho;21;141;2.0;8.1;6.3;12.0;6.4;22.5;22.1;15.0;5.7;6.5;4.3;3.8
144;Femea;21;363;1.5;8.3;8.5;8.7;4.5;21.0;22.5;16.5;5.0;6.5;5.0;4.2
